type;words;solution_type;type_category;statement;solution;explanation;hint
acertijo;1;1 palabra;adivinanza;Está en la navaja y en el cuaderno, suele caerse antes del invierno.;hoja;;Antes del invierno está el otoño...
acertijo;1;1 palabra;adivinanza;Alas de muchos colores de pierden entre las flores.;mariposa;;Pensá en un insecto...
acertijo;1;1 número;secuencia;1, 1, 2, 3, 5, 8, 13, 21... ¿Qué número sigue?;34;La famosa sucesión de Fibonacci.;Pensá en cómo crece una población de conejos...
acertijo;1;1 número;secuencia;1, 2, 2, 3, 3, 3, 4, 4, 4... ¿Qué número sigue?;4;Cada número aparece la cantidad de veces que es.;Los números sirven para contar...
acertijo;1;1 palabra;adivinanza;Algo que siempre cae pero nunca se rompe;cascada;;La mayor parte del tiempo está en estado líquido...
acertijo;1;1 palabra;adivinanza;Un caballo árabe de color blanco entró en el Mar Negro. ¿Cómo salió?;Mojado;¿Cómo iba a salir si no?;¡Pero entró en el mar negro!
acertijo;1;1 palabra;adivinanza;Una caja pequeña, blanca como las nubes, que cualquiera puede abrir y nadie puede cerrar;Huevo;;Hay cosas que se rompen al abrirlas...
acertijo;1;1 número;adivinanza;¿Cuál es el número que al revés vale menos?;9;;¿En serio pediste una pista? Da vuelta una calculadora...
acertijo;1;1 palabra;adivinanza;Todos me pisan, siempre me pisan. Y eso que yo no piso a nadie...;Camino;;Vos también lo pisás siempre...
acertijo;1;1 número;secuencia;2, 4, 14, 17, 31, 41, 131... ¿Qué número sigue?;141;El menor número con 8 sílabas.;Tenés que contar las sílabas que tiene el número en español...
acertijo;1;1 número;secuencia;3, 4, 6, 8, 10, 11... ¿Qué número sigue?;12;Los números con cantidad par de letras.;El secreto está en la cantidad de letras...
acertijo;1;1 número;secuencia;2, 3, 4, 6, 7, 8, 10, 12, 13, 14, 16, 17, 18, 1000... ¿Qué número sigue?;1002;Son los números que no tienen "n".;Todos estos números no tienen una letra...
acertijo;1;1 número;secuencia;24, 31, 34, 45, 51, 52, 54, 55, 58... ¿Qué número sigue?;104;Los números que tienen al menos una vez todas las vocales.;Las vocales tienen que estar todas...
acertijo;1;1 número;secuencia;5, 18, 16, 116, 516... ¿Qué número sigue?;1516;La secuencia se arma por la cantidad de letras "i" que tiene cada número.;Contá la cantidad de letras "i".
acertijo;1;1 número;secuencia;0, 1, 4, 5, 8, 18, 21... ¿Qué número sigue?;24;Los números que terminan con "o".;Todos terminan con una misma letra.
acertijo;1;1 número;secuencia;1, 4, 8, 48, 88, 488... ¿Qué número sigue?;888;Por la cantidad de agujeros.;No se trata de números ni de letras. El dibujo es lo que importa.
acertijo;1;1 número;secuencia;1, 2, 4, 8, 61, 221, 244... ¿Qué número sigue?;884;Cada número es el doble del anterior dado vuelta (de atrás para adelante).;Hay que multiplicar por 2 y hacer algo más...
acertijo;1;1 número;secuencia;1, 3, 5, 15, 30, 40, 50, 103, 105... ¿Qué número sigue?;115;Cada número tiene una letra más que el anterior.;Hay que contar la cantidad de letras...
acertijo;1;1 número;secuencia;3, 6, 12, 24, 25, 24, 35, 32, 45, 40... ¿Qué número sigue?;44;Cada número se obtiene multiplicándolo por la cantidad de legras de su nombre.;Hay que multiplicar con el abecedario.
acertijo;1;1 palabra;adivinanza;En el cielo brinco y vuelo. Me encanta subir, flotar y lucir mi pelo.;Barrilete;;Si no hay viento no lo podés usar...
acertijo;3;3 palabras;adivinanza;Dos hermanos son, uno va a misa y el otro no.;Vino y Vinagre;;Para tomar en la cena y condimentar ensaladas.
acertijo;1;1 palabra;adivinanza;Si la dejamos se pasa. Si la vendemos se pesa.;Uva;;Es una fruta que se pisa mucho...
acertijo;1;1 palabra;adivinanza;Todos pasan y preguntan por mi, pero yo no paso ni pregunto por nadie.;Calle;;A veces tienen nombre, a veces tienen número.
acertijo;1;1 palabra;adivinanza;Órdenes da, órdenes recibe, algunas ejecuta, otras las inhibe. ¿Quién es?;Cerebro;;Lo tenés puesto en este momento...
acertijo;1;1 palabra;adivinanza;El lugar en donde entrás ciego y salís viendo...;Escuela;;A mirar se aprende...
acertijo;1;1 palabra;adivinanza;Si lo tengo no lo comparto. Si lo comparto ya no lo tengo.;Secreto;;Si lo comparto ya no es lo que era...
acertijo;1;1 palabra;adivinanza;Tiene dientes pero no ladra. Aún así cuida tu casa.;Llave;;Los dientes tienen muchísimas formas distintas...
acertijo;1;1 número;adivinanza;El número al que le sacás la mitad y vale 0.;8;;Ojo que no siempre sacar la mitad es dividir...
acertijo;1;1 palabra;adivinanza;Si buscás el 13, en mi cara llena de números, no lo vas a encontrar...;Reloj;;Se usa para medir algo que nunca para...
acertijo;1;1 palabra;adivinanza;Vuela sin alas y silba sin boca. Pega sin manos pero no se toca.;Aire;;Te rodea en este momento...
