sticker;id;category;code
marilin;CAACAgIAAxkBAAICyGGSaHIoI0Sh3lfZGvvRRnBVIbsrAAKzCAACCLcZAtndkicrmeA8IgQ;victory;0
lincoln;CAACAgIAAxkBAAICyWGSaINGEfJZtSyZMdxSvntEFzavAALeCAACCLcZAthBNUbWHlZAIgQ;victory;0
freddy;CAACAgIAAxkBAAICymGSaJ3MyFdztJN4u2nHz3gS8ZXAAAKyCAACCLcZAhMvzLXnfVShIgQ;victory;0
newton;CAACAgIAAxkBAAIC7WGSbGXvdDfdXlfuOn6-tovrVe7JAALfCAACCLcZAnLSRFdZiNzlIgQ;hint;1
dalí;CAACAgIAAxkBAAIC7mGSbIAEOs7yW3_Byb3jykiBXEH5AALgCAACCLcZApPkOeu87BosIgQ;hint;1
napoleon;CAACAgIAAxkBAAIC72GSbJTQqhxquTozaPFcldb1A-jYAAK1CAACCLcZAkOd6IRiirFUIgQ;hint;1
juliocesar;CAACAgIAAxkBAAIC8WGSbLWQcsijuRtngv1kksiS4gABLwAC4ggAAgi3GQLBIgaDPXeR7CIE;victory;0
ghandi;CAACAgIAAxkBAAIC8mGSbMlaiJ7HSBwVId3iysOmOOXPAAKmCAACCLcZAiuFi1K7okV2IgQ;hint;1
franklin;CAACAgIAAxkBAAIC82GSbNzJ5I_vOKV8SkAnA7HlmXzIAAKkCAACCLcZApx9jiSt2W9HIgQ;hint;1
chaplin;CAACAgIAAxkBAAIC9WGSbPM3PszbshkdvMro8PoTAAFXZgAC0QgAAgi3GQJWyfXhxzvR5iIE;loose;2
einstein;CAACAgIAAxkBAAIC9mGSbQVoucNkDkW6u6eE0oOvrJEUAALTCAACCLcZAuMwtenAq70fIgQ;victory;0
freud;CAACAgIAAxkBAAIC92GSbRb3YEAWe0AVhm4FqT4ZPdJIAALZCAACCLcZAtFJpcEaRIVNIgQ;victory;0
brucelee;CAACAgIAAxkBAAIC-GGSbTjSIPWCInl0-aQJZ3OO7jHUAAKUCAACCLcZAtFLaULZ82fmIgQ;hint;1
juliocesar;CAACAgIAAxkBAAIC_GGSbWcRpDdA7OUsnm7zRl00AaB3AALjCAACCLcZAqhiD9a4x0BrIgQ;loose;2
martinlking;CAACAgIAAxkBAAIC_WGSbX6Niy3nOOijH7v_B0FRnmKLAAKSCAACCLcZAt2558s4lgJ9IgQ;victory;0
unknown;CAACAgIAAxkBAAIC_mGSbZOyhIms8PllyXA3HPqpk3p1AALPCAACCLcZAmRX7jsiQd-mIgQ;hint;1
unknown;CAACAgIAAxkBAAIC_2GSbbCAY57Kx8Cm-Ai81MahtJ8bAAKnCAACCLcZAv_bYAFcLmuuIgQ;hint;1
lenon;CAACAgIAAxkBAAIDAWGSbcy7120P8VP25sJJ8VUy5CthAAKsCAACCLcZApSc_cGAjwPqIgQ;hint;1
unknown;CAACAgIAAxkBAAIDA2GSbeks3L1Ssgn00_-Nj_LO8NwtAAK0CAACCLcZAlUx5xx3GlnDIgQ;loose;2
unknown;CAACAgIAAxkBAAIDBWGSbf7mLzt7FkbQNilAFlhbSXHiAAK4CAACCLcZAqbD6XCtqEPFIgQ;loose;2
unknown;CAACAgIAAxkBAAIDBmGSbhXkDS6n2RqlUH_XAc90W54nAAK6CAACCLcZAg4TYhWPCwe3IgQ;hint;1
unknown;CAACAgIAAxkBAAIDB2GSbiXwF1ynOkhha6T0eEx-G-sJAAK7CAACCLcZAtM9pSBt9oVaIgQ;loose;2
tesla;CAACAgIAAxkBAAIDCGGSbjVcgv4ek1zvm18DkmM2OmxxAAK9CAACCLcZAnljapSCec4qIgQ;loose;2
arquimedes;CAACAgIAAxkBAAIDC2GSbl_MDAExilaqVmyYMsHztt0rAAL1CAACCLcZApLG_ssh4GWBIgQ;loose;2
unknown;CAACAgIAAxkBAAIDDWGSbnm_tPssjLUEQlYQbIK0_YnwAALCCAACCLcZAhEcqZkGolAiIgQ;hint;1
unknown;CAACAgIAAxkBAAIDDmGSbpkxyxez3K_B8AEeZDJuW0XIAALhCAACCLcZAquv5CMrODAmIgQ;hint;1
unknown;CAACAgIAAxkBAAIL7GGZPBj5hUKnXauaWS_9JqAzvULXAAKhCAACCLcZAkYAAbk4P4wa_yIE;victory;0
unknown;CAACAgIAAxkBAAIL7WGZPF4-sb-HxjuBrAzdh6U1PzRjAALACAACCLcZAuVPbM6EtbnHIgQ;hint;1
unknown;CAACAgIAAxkBAAIL7mGZPJEAAee5CRzpfHgxAAGMcNCp9BoAAssIAAIItxkCZDUn7zeApI8iBA;victory;0
unknown;CAACAgIAAxkBAAIL72GZPKmcr_JATufwYnDz-YZhkTchAALVCAACCLcZAmFsUNsjsupqIgQ;hint;1
unknown;CAACAgIAAxkBAAIL8GGZPL91Nhcsr2otFB_bPWTmfJlOAALXCAACCLcZAmOr3WBI17JpIgQ;hint;1
unknown;CAACAgIAAxkBAAIL8WGZPNgZUBkDgEm6hFBRCVShVUu3AALYCAACCLcZAsljqtc0fewpIgQ;victory;0
unknown;CAACAgIAAxkBAAIL82GZPPk4b_nzRg8s1Y2PZuIOlI_lAALvCAACCLcZArMQzO1sY1vJIgQ;victory;0
unknown;CAACAgIAAxkBAAIL9GGZPRE2ggIX__QI3Svm3eW1vhjEAALyCAACCLcZApHA2gUN7qibIgQ;hint;1
unknown;CAACAgIAAxkBAAIL9WGZPSeBdVq0yme3AalNQZlrhvnwAAL4CAACCLcZAoCswzkMsIL4IgQ;victory;0
einstein;CAACAgIAAxkBAAIL9mGZPVhBKtn6xSIOSdW1O4f3OMMQAAJoDQACtKGhSB5YmffKhwNBIgQ;victory;0
einstein;CAACAgIAAxkBAAIL92GZPW_UkPx59dn170oAAawZvzenawACrQ4AAuR6QUt_BjUr8hmSxiIE;victory;0
einstein;CAACAgIAAxkBAAIL-GGZPXh3KEvubq-70719x4J4eWVnAAJaDgACxA2ZSIa1vf7bnl8NIgQ;loose;2
einstein;CAACAgIAAxkBAAIL-mGZPa5qgGh_bip1MV9fQ6lAdDvRAALPEQAC53WZSKSIVIrOVvdkIgQ;loose;2
einstein;CAACAgIAAxkBAAIL-2GZPcUc-IISoO0uAAFDNJwvBUkgIAACcg8AAiRaoEiI1kAytRS9ziIE;hint;1
einstein;CAACAgIAAxkBAAIL_GGZPdw-7mgL8N2AL6o9MKOCXEm6AAJhDwACnnCYSFvi0m2WkUP5IgQ;hint;1
einstein;CAACAgIAAxkBAAIL_WGZPfLk2rvaRBLaTbOTLpchsBmAAAJmDwACUbCwSJQcfc4I-5mpIgQ;hint;1
einstein;CAACAgIAAxkBAAIL_mGZPhdErZGFmU4V5yPUlyZsFcbLAAJnEAACg4CgSBLeqkzA8HVwIgQ;loose;2
einstein;CAACAgIAAxkBAAIL_2GZPi3LNRT9AUEDRjKWM3NtKw5WAALFDgACjESZSAOKLnXxaDR7IgQ;loose;2
einstein;CAACAgIAAxkBAAIMAAFhmT5I203gsjT8RHN3wSRi4GHBkwACbxMAAgqlmEjF0lx0oEKzICIE;loose;2
einstein;CAACAgIAAxkBAAIMAWGZPmBtcFR83c8ZnHd2TO7PzQqIAAJjDgACC1qgSDsJv72JxhnNIgQ;hint;1
einstein;CAACAgIAAxkBAAIMAmGZPnCJtzDdTzEqUq1VTijDPjC6AAIbEwACWpLYSGMHpnVe0KuXIgQ;victory;0
